sample
M_148_final_mcav_reference_transcriptome_quant
M_149_final_mcav_reference_transcriptome_quant
M_152_final_mcav_reference_transcriptome_quant
M_153_final_mcav_reference_transcriptome_quant
M_155_final_mcav_reference_transcriptome_quant
M_156_final_mcav_reference_transcriptome_quant
M_244_final_mcav_reference_transcriptome_quant
M_245_final_mcav_reference_transcriptome_quant
M_265_final_mcav_reference_transcriptome_quant
M_291_final_mcav_reference_transcriptome_quant
M_292_final_mcav_reference_transcriptome_quant
M_293_final_mcav_reference_transcriptome_quant
M_294_final_mcav_reference_transcriptome_quant
M_297_final_mcav_reference_transcriptome_quant
M_299_final_mcav_reference_transcriptome_quant
M_301_final_mcav_reference_transcriptome_quant
M_302_final_mcav_reference_transcriptome_quant
M_303_final_mcav_reference_transcriptome_quant
M_304_final_mcav_reference_transcriptome_quant
M_305_final_mcav_reference_transcriptome_quant
M_310_final_mcav_reference_transcriptome_quant
M_312_final_mcav_reference_transcriptome_quant
