Transcript,Transcript
TRINITY_DN10050_c0_g1_i1,TRINITY_DN10050_c0_g1_i1
TRINITY_DN10050_c0_g2_i1,TRINITY_DN10050_c0_g2_i1
TRINITY_DN100515_c0_g1_i1,TRINITY_DN100515_c0_g1_i1
TRINITY_DN100518_c0_g1_i1,TRINITY_DN100518_c0_g1_i1
TRINITY_DN100519_c1_g1_i8,TRINITY_DN100519_c1_g1_i8
TRINITY_DN10051_c0_g1_i7,TRINITY_DN10051_c0_g1_i7
TRINITY_DN10052_c0_g3_i1,TRINITY_DN10052_c0_g3_i1
TRINITY_DN10053_c0_g2_i2,TRINITY_DN10053_c0_g2_i2
TRINITY_DN10055_c0_g2_i2,TRINITY_DN10055_c0_g2_i2
TRINITY_DN100560_c0_g2_i5,TRINITY_DN100560_c0_g2_i5
TRINITY_DN100577_c0_g1_i2,TRINITY_DN100577_c0_g1_i2
TRINITY_DN10059_c1_g2_i1,TRINITY_DN10059_c1_g2_i1
TRINITY_DN100609_c0_g1_i2,TRINITY_DN100609_c0_g1_i2
TRINITY_DN100616_c0_g1_i1,TRINITY_DN100616_c0_g1_i1
TRINITY_DN10061_c0_g1_i1,TRINITY_DN10061_c0_g1_i1
TRINITY_DN10061_c0_g3_i6,TRINITY_DN10061_c0_g3_i6
TRINITY_DN10062_c0_g1_i5,TRINITY_DN10062_c0_g1_i5
TRINITY_DN10062_c0_g2_i7,TRINITY_DN10062_c0_g2_i7
TRINITY_DN10063_c0_g1_i4,TRINITY_DN10063_c0_g1_i4
TRINITY_DN100645_c0_g2_i1,TRINITY_DN100645_c0_g2_i1
TRINITY_DN100645_c0_g3_i2,TRINITY_DN100645_c0_g3_i2
TRINITY_DN100645_c1_g2_i4,TRINITY_DN100645_c1_g2_i4
TRINITY_DN10064_c0_g1_i9,TRINITY_DN10064_c0_g1_i9
TRINITY_DN10066_c0_g3_i1,TRINITY_DN10066_c0_g3_i1
TRINITY_DN100679_c0_g1_i1,TRINITY_DN100679_c0_g1_i1
TRINITY_DN10067_c1_g1_i1,TRINITY_DN10067_c1_g1_i1
TRINITY_DN100680_c0_g1_i1,TRINITY_DN100680_c0_g1_i1
TRINITY_DN100682_c0_g1_i1,TRINITY_DN100682_c0_g1_i1
TRINITY_DN10068_c0_g1_i1,TRINITY_DN10068_c0_g1_i1
TRINITY_DN100694_c0_g3_i2,TRINITY_DN100694_c0_g3_i2
TRINITY_DN100694_c0_g4_i2,TRINITY_DN100694_c0_g4_i2
TRINITY_DN100699_c0_g1_i1,TRINITY_DN100699_c0_g1_i1
TRINITY_DN10070_c0_g1_i2,TRINITY_DN10070_c0_g1_i2
TRINITY_DN100715_c0_g1_i3,TRINITY_DN100715_c0_g1_i3
TRINITY_DN100719_c1_g1_i1,TRINITY_DN100719_c1_g1_i1
TRINITY_DN10071_c1_g1_i19,TRINITY_DN10071_c1_g1_i19
TRINITY_DN10071_c2_g1_i1,TRINITY_DN10071_c2_g1_i1
TRINITY_DN100723_c1_g1_i1,TRINITY_DN100723_c1_g1_i1
TRINITY_DN100723_c2_g3_i4,TRINITY_DN100723_c2_g3_i4
TRINITY_DN10072_c0_g1_i8,TRINITY_DN10072_c0_g1_i8
TRINITY_DN10073_c0_g1_i3,TRINITY_DN10073_c0_g1_i3
TRINITY_DN10073_c0_g2_i4,TRINITY_DN10073_c0_g2_i4
TRINITY_DN10074_c0_g1_i1,TRINITY_DN10074_c0_g1_i1
TRINITY_DN100751_c0_g1_i1,TRINITY_DN100751_c0_g1_i1
TRINITY_DN10075_c0_g1_i8,TRINITY_DN10075_c0_g1_i8
TRINITY_DN10076_c0_g2_i1,TRINITY_DN10076_c0_g2_i1
TRINITY_DN10076_c0_g3_i3,TRINITY_DN10076_c0_g3_i3
TRINITY_DN100789_c0_g1_i1,TRINITY_DN100789_c0_g1_i1
TRINITY_DN10078_c0_g1_i9,TRINITY_DN10078_c0_g1_i9
TRINITY_DN10079_c0_g2_i2,TRINITY_DN10079_c0_g2_i2
TRINITY_DN10079_c1_g2_i1,TRINITY_DN10079_c1_g2_i1
TRINITY_DN1007_c2_g1_i3,TRINITY_DN1007_c2_g1_i3
TRINITY_DN100812_c0_g1_i1,TRINITY_DN100812_c0_g1_i1
TRINITY_DN100813_c1_g1_i1,TRINITY_DN100813_c1_g1_i1
TRINITY_DN100814_c0_g1_i3,TRINITY_DN100814_c0_g1_i3
TRINITY_DN10081_c0_g1_i5,TRINITY_DN10081_c0_g1_i5
TRINITY_DN10082_c0_g1_i4,TRINITY_DN10082_c0_g1_i4
TRINITY_DN10082_c0_g2_i1,TRINITY_DN10082_c0_g2_i1
TRINITY_DN10084_c0_g2_i2,TRINITY_DN10084_c0_g2_i2
TRINITY_DN100852_c0_g1_i1,TRINITY_DN100852_c0_g1_i1
TRINITY_DN10085_c0_g1_i8,TRINITY_DN10085_c0_g1_i8
TRINITY_DN100861_c2_g3_i1,TRINITY_DN100861_c2_g3_i1
TRINITY_DN100868_c0_g3_i1,TRINITY_DN100868_c0_g3_i1
TRINITY_DN100869_c0_g1_i1,TRINITY_DN100869_c0_g1_i1
TRINITY_DN100869_c0_g3_i1,TRINITY_DN100869_c0_g3_i1
TRINITY_DN10086_c0_g1_i3,TRINITY_DN10086_c0_g1_i3
TRINITY_DN100874_c0_g1_i1,TRINITY_DN100874_c0_g1_i1
TRINITY_DN100876_c0_g2_i1,TRINITY_DN100876_c0_g2_i1
TRINITY_DN10087_c0_g1_i2,TRINITY_DN10087_c0_g1_i2
TRINITY_DN100885_c0_g1_i2,TRINITY_DN100885_c0_g1_i2
TRINITY_DN10088_c0_g1_i3,TRINITY_DN10088_c0_g1_i3
TRINITY_DN100893_c1_g1_i1,TRINITY_DN100893_c1_g1_i1
TRINITY_DN10089_c0_g2_i11,TRINITY_DN10089_c0_g2_i11
TRINITY_DN1008_c0_g1_i7,TRINITY_DN1008_c0_g1_i7
TRINITY_DN100912_c1_g1_i1,TRINITY_DN100912_c1_g1_i1
TRINITY_DN100917_c0_g1_i2,TRINITY_DN100917_c0_g1_i2
TRINITY_DN100926_c0_g1_i5,TRINITY_DN100926_c0_g1_i5
TRINITY_DN10092_c0_g1_i5,TRINITY_DN10092_c0_g1_i5
TRINITY_DN100934_c1_g1_i1,TRINITY_DN100934_c1_g1_i1
TRINITY_DN10094_c0_g1_i4,TRINITY_DN10094_c0_g1_i4
TRINITY_DN100953_c1_g1_i1,TRINITY_DN100953_c1_g1_i1
TRINITY_DN100954_c0_g1_i2,TRINITY_DN100954_c0_g1_i2
TRINITY_DN10095_c0_g3_i2,TRINITY_DN10095_c0_g3_i2
TRINITY_DN10095_c0_g4_i1,TRINITY_DN10095_c0_g4_i1
TRINITY_DN10096_c0_g1_i1,TRINITY_DN10096_c0_g1_i1
TRINITY_DN10097_c0_g1_i1,TRINITY_DN10097_c0_g1_i1
TRINITY_DN100982_c0_g2_i2,TRINITY_DN100982_c0_g2_i2
TRINITY_DN100984_c0_g2_i1,TRINITY_DN100984_c0_g2_i1
TRINITY_DN10098_c0_g2_i4,TRINITY_DN10098_c0_g2_i4
TRINITY_DN10099_c0_g1_i12,TRINITY_DN10099_c0_g1_i12
TRINITY_DN10099_c0_g2_i1,TRINITY_DN10099_c0_g2_i1
TRINITY_DN1009_c0_g1_i4,TRINITY_DN1009_c0_g1_i4
TRINITY_DN1009_c0_g2_i1,TRINITY_DN1009_c0_g2_i1
TRINITY_DN1009_c0_g3_i1,TRINITY_DN1009_c0_g3_i1
TRINITY_DN1009_c0_g4_i2,TRINITY_DN1009_c0_g4_i2
TRINITY_DN100_c1_g2_i6,TRINITY_DN100_c1_g2_i6
TRINITY_DN100_c2_g1_i2,TRINITY_DN100_c2_g1_i2
TRINITY_DN10100_c0_g1_i4,TRINITY_DN10100_c0_g1_i4
TRINITY_DN101010_c0_g1_i3,TRINITY_DN101010_c0_g1_i3
TRINITY_DN10101_c0_g1_i6,TRINITY_DN10101_c0_g1_i6
TRINITY_DN10102_c0_g1_i2,TRINITY_DN10102_c0_g1_i2
TRINITY_DN101044_c0_g1_i2,TRINITY_DN101044_c0_g1_i2
TRINITY_DN10104_c0_g2_i1,TRINITY_DN10104_c0_g2_i1
TRINITY_DN101057_c0_g1_i3,TRINITY_DN101057_c0_g1_i3
TRINITY_DN101057_c0_g2_i1,TRINITY_DN101057_c0_g2_i1
TRINITY_DN10105_c0_g2_i4,TRINITY_DN10105_c0_g2_i4
TRINITY_DN101060_c0_g1_i1,TRINITY_DN101060_c0_g1_i1
TRINITY_DN101072_c0_g1_i2,TRINITY_DN101072_c0_g1_i2
TRINITY_DN10107_c0_g1_i2,TRINITY_DN10107_c0_g1_i2
TRINITY_DN10108_c0_g1_i2,TRINITY_DN10108_c0_g1_i2
TRINITY_DN10108_c0_g2_i18,TRINITY_DN10108_c0_g2_i18
TRINITY_DN10109_c0_g1_i1,TRINITY_DN10109_c0_g1_i1
