Transcript,Transcript
TRINITY_DN110663_c0_g1_i2,TRINITY_DN110663_c0_g1_i2
TRINITY_DN110665_c0_g1_i1,TRINITY_DN110665_c0_g1_i1
TRINITY_DN110672_c1_g1_i1,TRINITY_DN110672_c1_g1_i1
TRINITY_DN110679_c0_g1_i1,TRINITY_DN110679_c0_g1_i1
TRINITY_DN11067_c0_g1_i1,TRINITY_DN11067_c0_g1_i1
TRINITY_DN11068_c0_g1_i1,TRINITY_DN11068_c0_g1_i1
TRINITY_DN11069_c0_g1_i1,TRINITY_DN11069_c0_g1_i1
TRINITY_DN110701_c0_g1_i1,TRINITY_DN110701_c0_g1_i1
TRINITY_DN11070_c0_g1_i1,TRINITY_DN11070_c0_g1_i1
TRINITY_DN110712_c0_g1_i1,TRINITY_DN110712_c0_g1_i1
TRINITY_DN11071_c0_g1_i1,TRINITY_DN11071_c0_g1_i1
TRINITY_DN11072_c0_g2_i7,TRINITY_DN11072_c0_g2_i7
TRINITY_DN11072_c1_g2_i2,TRINITY_DN11072_c1_g2_i2
TRINITY_DN11073_c0_g1_i1,TRINITY_DN11073_c0_g1_i1
TRINITY_DN11075_c0_g1_i7,TRINITY_DN11075_c0_g1_i7
TRINITY_DN11075_c0_g2_i2,TRINITY_DN11075_c0_g2_i2
TRINITY_DN110768_c0_g1_i1,TRINITY_DN110768_c0_g1_i1
TRINITY_DN110772_c0_g1_i1,TRINITY_DN110772_c0_g1_i1
TRINITY_DN11077_c0_g1_i3,TRINITY_DN11077_c0_g1_i3
TRINITY_DN11078_c0_g1_i25,TRINITY_DN11078_c0_g1_i25
TRINITY_DN11079_c0_g1_i4,TRINITY_DN11079_c0_g1_i4
TRINITY_DN1107_c0_g1_i11,TRINITY_DN1107_c0_g1_i11
TRINITY_DN1107_c2_g1_i12,TRINITY_DN1107_c2_g1_i12
TRINITY_DN1107_c4_g1_i6,TRINITY_DN1107_c4_g1_i6
TRINITY_DN11080_c0_g1_i7,TRINITY_DN11080_c0_g1_i7
TRINITY_DN11081_c0_g1_i15,TRINITY_DN11081_c0_g1_i15
TRINITY_DN11081_c1_g1_i5,TRINITY_DN11081_c1_g1_i5
TRINITY_DN110836_c0_g2_i1,TRINITY_DN110836_c0_g2_i1
TRINITY_DN11084_c0_g1_i7,TRINITY_DN11084_c0_g1_i7
TRINITY_DN11085_c0_g1_i6,TRINITY_DN11085_c0_g1_i6
TRINITY_DN11085_c0_g2_i1,TRINITY_DN11085_c0_g2_i1
TRINITY_DN11086_c0_g1_i1,TRINITY_DN11086_c0_g1_i1
TRINITY_DN11086_c1_g1_i1,TRINITY_DN11086_c1_g1_i1
TRINITY_DN11086_c2_g1_i1,TRINITY_DN11086_c2_g1_i1
TRINITY_DN110877_c0_g1_i1,TRINITY_DN110877_c0_g1_i1
TRINITY_DN11087_c0_g1_i3,TRINITY_DN11087_c0_g1_i3
TRINITY_DN11087_c0_g2_i2,TRINITY_DN11087_c0_g2_i2
TRINITY_DN11089_c0_g1_i18,TRINITY_DN11089_c0_g1_i18
TRINITY_DN110906_c0_g1_i1,TRINITY_DN110906_c0_g1_i1
TRINITY_DN11091_c0_g2_i1,TRINITY_DN11091_c0_g2_i1
TRINITY_DN11092_c0_g1_i15,TRINITY_DN11092_c0_g1_i15
TRINITY_DN11093_c0_g1_i2,TRINITY_DN11093_c0_g1_i2
TRINITY_DN11094_c0_g1_i3,TRINITY_DN11094_c0_g1_i3
TRINITY_DN11094_c0_g3_i1,TRINITY_DN11094_c0_g3_i1
TRINITY_DN11095_c0_g2_i2,TRINITY_DN11095_c0_g2_i2
TRINITY_DN11097_c0_g1_i3,TRINITY_DN11097_c0_g1_i3
TRINITY_DN110984_c0_g1_i3,TRINITY_DN110984_c0_g1_i3
TRINITY_DN11098_c0_g1_i4,TRINITY_DN11098_c0_g1_i4
TRINITY_DN110_c0_g1_i8,TRINITY_DN110_c0_g1_i8
TRINITY_DN11101_c0_g2_i1,TRINITY_DN11101_c0_g2_i1
TRINITY_DN11103_c0_g1_i3,TRINITY_DN11103_c0_g1_i3
TRINITY_DN111049_c1_g1_i2,TRINITY_DN111049_c1_g1_i2
TRINITY_DN11104_c0_g1_i17,TRINITY_DN11104_c0_g1_i17
TRINITY_DN111064_c0_g1_i1,TRINITY_DN111064_c0_g1_i1
TRINITY_DN11107_c0_g1_i1,TRINITY_DN11107_c0_g1_i1
TRINITY_DN11108_c0_g3_i3,TRINITY_DN11108_c0_g3_i3
TRINITY_DN111109_c0_g1_i1,TRINITY_DN111109_c0_g1_i1
TRINITY_DN111125_c0_g1_i4,TRINITY_DN111125_c0_g1_i4
TRINITY_DN11112_c0_g1_i2,TRINITY_DN11112_c0_g1_i2
TRINITY_DN111163_c1_g1_i1,TRINITY_DN111163_c1_g1_i1
TRINITY_DN111163_c2_g1_i1,TRINITY_DN111163_c2_g1_i1
TRINITY_DN111163_c3_g1_i1,TRINITY_DN111163_c3_g1_i1
TRINITY_DN111163_c6_g1_i1,TRINITY_DN111163_c6_g1_i1
TRINITY_DN111168_c0_g2_i1,TRINITY_DN111168_c0_g2_i1
TRINITY_DN111170_c1_g1_i1,TRINITY_DN111170_c1_g1_i1
TRINITY_DN11117_c0_g2_i1,TRINITY_DN11117_c0_g2_i1
TRINITY_DN11118_c0_g1_i6,TRINITY_DN11118_c0_g1_i6
TRINITY_DN111190_c0_g1_i18,TRINITY_DN111190_c0_g1_i18
TRINITY_DN11119_c0_g1_i9,TRINITY_DN11119_c0_g1_i9
TRINITY_DN1111_c0_g1_i1,TRINITY_DN1111_c0_g1_i1
TRINITY_DN11120_c0_g1_i1,TRINITY_DN11120_c0_g1_i1
TRINITY_DN11122_c0_g1_i2,TRINITY_DN11122_c0_g1_i2
TRINITY_DN11122_c3_g1_i3,TRINITY_DN11122_c3_g1_i3
TRINITY_DN11123_c0_g1_i1,TRINITY_DN11123_c0_g1_i1
TRINITY_DN11124_c0_g1_i12,TRINITY_DN11124_c0_g1_i12
TRINITY_DN111258_c0_g2_i2,TRINITY_DN111258_c0_g2_i2
TRINITY_DN11127_c0_g2_i2,TRINITY_DN11127_c0_g2_i2
TRINITY_DN111288_c2_g1_i1,TRINITY_DN111288_c2_g1_i1
TRINITY_DN1112_c0_g2_i1,TRINITY_DN1112_c0_g2_i1
TRINITY_DN111305_c0_g1_i1,TRINITY_DN111305_c0_g1_i1
TRINITY_DN111305_c0_g2_i1,TRINITY_DN111305_c0_g2_i1
TRINITY_DN111305_c1_g2_i2,TRINITY_DN111305_c1_g2_i2
TRINITY_DN111312_c0_g1_i2,TRINITY_DN111312_c0_g1_i2
TRINITY_DN11131_c0_g1_i1,TRINITY_DN11131_c0_g1_i1
TRINITY_DN111322_c0_g1_i1,TRINITY_DN111322_c0_g1_i1
TRINITY_DN111322_c1_g1_i1,TRINITY_DN111322_c1_g1_i1
TRINITY_DN11132_c0_g1_i8,TRINITY_DN11132_c0_g1_i8
TRINITY_DN11132_c0_g2_i1,TRINITY_DN11132_c0_g2_i1
TRINITY_DN11132_c0_g3_i4,TRINITY_DN11132_c0_g3_i4
TRINITY_DN11133_c0_g1_i3,TRINITY_DN11133_c0_g1_i3
TRINITY_DN111347_c0_g1_i1,TRINITY_DN111347_c0_g1_i1
TRINITY_DN111352_c0_g1_i1,TRINITY_DN111352_c0_g1_i1
TRINITY_DN111355_c0_g3_i1,TRINITY_DN111355_c0_g3_i1
TRINITY_DN111367_c1_g1_i1,TRINITY_DN111367_c1_g1_i1
TRINITY_DN111368_c1_g1_i4,TRINITY_DN111368_c1_g1_i4
TRINITY_DN11136_c0_g1_i1,TRINITY_DN11136_c0_g1_i1
TRINITY_DN111377_c0_g1_i3,TRINITY_DN111377_c0_g1_i3
TRINITY_DN111380_c0_g1_i1,TRINITY_DN111380_c0_g1_i1
TRINITY_DN111380_c0_g2_i1,TRINITY_DN111380_c0_g2_i1
TRINITY_DN111387_c0_g1_i1,TRINITY_DN111387_c0_g1_i1
TRINITY_DN111387_c0_g2_i1,TRINITY_DN111387_c0_g2_i1
TRINITY_DN111391_c0_g1_i1,TRINITY_DN111391_c0_g1_i1
TRINITY_DN1113_c0_g1_i11,TRINITY_DN1113_c0_g1_i11
TRINITY_DN111407_c0_g1_i1,TRINITY_DN111407_c0_g1_i1
TRINITY_DN11140_c0_g1_i1,TRINITY_DN11140_c0_g1_i1
TRINITY_DN11141_c0_g1_i5,TRINITY_DN11141_c0_g1_i5
TRINITY_DN11141_c0_g2_i2,TRINITY_DN11141_c0_g2_i2
TRINITY_DN111420_c0_g1_i1,TRINITY_DN111420_c0_g1_i1
TRINITY_DN11142_c0_g1_i1,TRINITY_DN11142_c0_g1_i1
TRINITY_DN111430_c0_g1_i2,TRINITY_DN111430_c0_g1_i2
TRINITY_DN11143_c1_g1_i5,TRINITY_DN11143_c1_g1_i5
TRINITY_DN111440_c0_g1_i1,TRINITY_DN111440_c0_g1_i1
TRINITY_DN111442_c0_g1_i1,TRINITY_DN111442_c0_g1_i1
TRINITY_DN111444_c0_g1_i2,TRINITY_DN111444_c0_g1_i2
TRINITY_DN111457_c0_g2_i2,TRINITY_DN111457_c0_g2_i2
TRINITY_DN11145_c0_g1_i1,TRINITY_DN11145_c0_g1_i1
TRINITY_DN11146_c0_g2_i4,TRINITY_DN11146_c0_g2_i4
TRINITY_DN11146_c1_g1_i1,TRINITY_DN11146_c1_g1_i1
TRINITY_DN111472_c0_g1_i2,TRINITY_DN111472_c0_g1_i2
TRINITY_DN111497_c0_g1_i6,TRINITY_DN111497_c0_g1_i6
TRINITY_DN11149_c0_g1_i3,TRINITY_DN11149_c0_g1_i3
TRINITY_DN111505_c0_g1_i1,TRINITY_DN111505_c0_g1_i1
TRINITY_DN11151_c0_g1_i1,TRINITY_DN11151_c0_g1_i1
TRINITY_DN11153_c0_g1_i1,TRINITY_DN11153_c0_g1_i1
TRINITY_DN11153_c0_g2_i1,TRINITY_DN11153_c0_g2_i1
TRINITY_DN11154_c0_g1_i28,TRINITY_DN11154_c0_g1_i28
TRINITY_DN111555_c0_g1_i1,TRINITY_DN111555_c0_g1_i1
TRINITY_DN11155_c0_g2_i3,TRINITY_DN11155_c0_g2_i3
TRINITY_DN111560_c0_g1_i1,TRINITY_DN111560_c0_g1_i1
TRINITY_DN11156_c0_g1_i7,TRINITY_DN11156_c0_g1_i7
TRINITY_DN111574_c0_g1_i1,TRINITY_DN111574_c0_g1_i1
TRINITY_DN11157_c0_g2_i1,TRINITY_DN11157_c0_g2_i1
TRINITY_DN111589_c0_g1_i1,TRINITY_DN111589_c0_g1_i1
TRINITY_DN11158_c0_g1_i2,TRINITY_DN11158_c0_g1_i2
TRINITY_DN111592_c0_g1_i1,TRINITY_DN111592_c0_g1_i1
TRINITY_DN111593_c0_g1_i1,TRINITY_DN111593_c0_g1_i1
TRINITY_DN11159_c0_g1_i7,TRINITY_DN11159_c0_g1_i7
TRINITY_DN11159_c0_g2_i1,TRINITY_DN11159_c0_g2_i1
TRINITY_DN1115_c0_g1_i4,TRINITY_DN1115_c0_g1_i4
TRINITY_DN1115_c0_g2_i1,TRINITY_DN1115_c0_g2_i1
TRINITY_DN111609_c1_g1_i1,TRINITY_DN111609_c1_g1_i1
TRINITY_DN11160_c0_g1_i2,TRINITY_DN11160_c0_g1_i2
TRINITY_DN111611_c0_g1_i1,TRINITY_DN111611_c0_g1_i1
TRINITY_DN111636_c0_g1_i2,TRINITY_DN111636_c0_g1_i2
TRINITY_DN11163_c0_g1_i1,TRINITY_DN11163_c0_g1_i1
TRINITY_DN111654_c0_g2_i1,TRINITY_DN111654_c0_g2_i1
TRINITY_DN111660_c0_g1_i1,TRINITY_DN111660_c0_g1_i1
TRINITY_DN11166_c0_g1_i2,TRINITY_DN11166_c0_g1_i2
TRINITY_DN11168_c0_g2_i1,TRINITY_DN11168_c0_g2_i1
TRINITY_DN111691_c0_g1_i1,TRINITY_DN111691_c0_g1_i1
TRINITY_DN1116_c0_g1_i7,TRINITY_DN1116_c0_g1_i7
TRINITY_DN1116_c10_g3_i1,TRINITY_DN1116_c10_g3_i1
TRINITY_DN1116_c3_g1_i14,TRINITY_DN1116_c3_g1_i14
TRINITY_DN1116_c5_g2_i1,TRINITY_DN1116_c5_g2_i1
TRINITY_DN1116_c7_g1_i1,TRINITY_DN1116_c7_g1_i1
TRINITY_DN1116_c8_g1_i6,TRINITY_DN1116_c8_g1_i6
TRINITY_DN111704_c1_g1_i2,TRINITY_DN111704_c1_g1_i2
TRINITY_DN11170_c0_g1_i4,TRINITY_DN11170_c0_g1_i4
TRINITY_DN11170_c0_g2_i1,TRINITY_DN11170_c0_g2_i1
TRINITY_DN11171_c0_g1_i2,TRINITY_DN11171_c0_g1_i2
TRINITY_DN11172_c0_g1_i1,TRINITY_DN11172_c0_g1_i1
TRINITY_DN111733_c0_g1_i1,TRINITY_DN111733_c0_g1_i1
TRINITY_DN111735_c0_g1_i1,TRINITY_DN111735_c0_g1_i1
TRINITY_DN11173_c0_g1_i1,TRINITY_DN11173_c0_g1_i1
TRINITY_DN11174_c0_g1_i19,TRINITY_DN11174_c0_g1_i19
TRINITY_DN111759_c0_g1_i1,TRINITY_DN111759_c0_g1_i1
TRINITY_DN11176_c0_g2_i2,TRINITY_DN11176_c0_g2_i2
TRINITY_DN111778_c2_g1_i1,TRINITY_DN111778_c2_g1_i1
TRINITY_DN111779_c0_g2_i1,TRINITY_DN111779_c0_g2_i1
TRINITY_DN11177_c0_g1_i5,TRINITY_DN11177_c0_g1_i5
TRINITY_DN111789_c0_g1_i1,TRINITY_DN111789_c0_g1_i1
TRINITY_DN11178_c0_g1_i1,TRINITY_DN11178_c0_g1_i1
TRINITY_DN11179_c0_g1_i1,TRINITY_DN11179_c0_g1_i1
TRINITY_DN111803_c0_g3_i1,TRINITY_DN111803_c0_g3_i1
TRINITY_DN111804_c0_g1_i3,TRINITY_DN111804_c0_g1_i3
TRINITY_DN111804_c0_g2_i5,TRINITY_DN111804_c0_g2_i5
TRINITY_DN111806_c0_g1_i1,TRINITY_DN111806_c0_g1_i1
TRINITY_DN111834_c0_g2_i4,TRINITY_DN111834_c0_g2_i4
TRINITY_DN11184_c0_g1_i8,TRINITY_DN11184_c0_g1_i8
TRINITY_DN111855_c0_g1_i8,TRINITY_DN111855_c0_g1_i8
TRINITY_DN111859_c0_g1_i1,TRINITY_DN111859_c0_g1_i1
TRINITY_DN111860_c1_g1_i1,TRINITY_DN111860_c1_g1_i1
TRINITY_DN11186_c0_g1_i8,TRINITY_DN11186_c0_g1_i8
TRINITY_DN11186_c0_g2_i8,TRINITY_DN11186_c0_g2_i8
TRINITY_DN111873_c0_g1_i1,TRINITY_DN111873_c0_g1_i1
TRINITY_DN111884_c0_g1_i1,TRINITY_DN111884_c0_g1_i1
TRINITY_DN11188_c0_g1_i5,TRINITY_DN11188_c0_g1_i5
TRINITY_DN11189_c0_g1_i5,TRINITY_DN11189_c0_g1_i5
TRINITY_DN11189_c1_g1_i4,TRINITY_DN11189_c1_g1_i4
TRINITY_DN111909_c0_g2_i1,TRINITY_DN111909_c0_g2_i1
TRINITY_DN11190_c0_g1_i1,TRINITY_DN11190_c0_g1_i1
TRINITY_DN111914_c0_g1_i1,TRINITY_DN111914_c0_g1_i1
TRINITY_DN111926_c0_g1_i1,TRINITY_DN111926_c0_g1_i1
TRINITY_DN11192_c0_g1_i1,TRINITY_DN11192_c0_g1_i1
TRINITY_DN111934_c0_g1_i1,TRINITY_DN111934_c0_g1_i1
TRINITY_DN11193_c1_g1_i1,TRINITY_DN11193_c1_g1_i1
TRINITY_DN11193_c2_g1_i1,TRINITY_DN11193_c2_g1_i1
TRINITY_DN111944_c0_g4_i1,TRINITY_DN111944_c0_g4_i1
TRINITY_DN111944_c1_g1_i2,TRINITY_DN111944_c1_g1_i2
TRINITY_DN111945_c0_g1_i2,TRINITY_DN111945_c0_g1_i2
TRINITY_DN11194_c0_g2_i2,TRINITY_DN11194_c0_g2_i2
TRINITY_DN11195_c0_g1_i12,TRINITY_DN11195_c0_g1_i12
TRINITY_DN11195_c1_g2_i1,TRINITY_DN11195_c1_g2_i1
TRINITY_DN111969_c0_g1_i10,TRINITY_DN111969_c0_g1_i10
TRINITY_DN11196_c0_g1_i2,TRINITY_DN11196_c0_g1_i2
TRINITY_DN11197_c0_g1_i1,TRINITY_DN11197_c0_g1_i1
TRINITY_DN11198_c0_g1_i1,TRINITY_DN11198_c0_g1_i1
TRINITY_DN11199_c0_g1_i1,TRINITY_DN11199_c0_g1_i1
TRINITY_DN1119_c0_g1_i2,TRINITY_DN1119_c0_g1_i2
TRINITY_DN111_c0_g1_i2,TRINITY_DN111_c0_g1_i2
TRINITY_DN111_c1_g1_i10,TRINITY_DN111_c1_g1_i10
TRINITY_DN112003_c0_g3_i1,TRINITY_DN112003_c0_g3_i1
TRINITY_DN11201_c0_g2_i1,TRINITY_DN11201_c0_g2_i1
TRINITY_DN11201_c0_g3_i1,TRINITY_DN11201_c0_g3_i1
TRINITY_DN112020_c0_g1_i1,TRINITY_DN112020_c0_g1_i1
TRINITY_DN11202_c0_g1_i1,TRINITY_DN11202_c0_g1_i1
TRINITY_DN112034_c0_g1_i1,TRINITY_DN112034_c0_g1_i1
TRINITY_DN11203_c0_g2_i1,TRINITY_DN11203_c0_g2_i1
TRINITY_DN11203_c0_g4_i2,TRINITY_DN11203_c0_g4_i2
TRINITY_DN11204_c0_g1_i1,TRINITY_DN11204_c0_g1_i1
TRINITY_DN112052_c0_g1_i9,TRINITY_DN112052_c0_g1_i9
TRINITY_DN112052_c1_g1_i1,TRINITY_DN112052_c1_g1_i1
TRINITY_DN112076_c0_g1_i2,TRINITY_DN112076_c0_g1_i2
TRINITY_DN112077_c0_g1_i2,TRINITY_DN112077_c0_g1_i2
TRINITY_DN11207_c0_g2_i5,TRINITY_DN11207_c0_g2_i5
TRINITY_DN11207_c1_g1_i1,TRINITY_DN11207_c1_g1_i1
TRINITY_DN11208_c0_g1_i4,TRINITY_DN11208_c0_g1_i4
TRINITY_DN1120_c0_g1_i1,TRINITY_DN1120_c0_g1_i1
TRINITY_DN1120_c0_g5_i2,TRINITY_DN1120_c0_g5_i2
TRINITY_DN11210_c0_g2_i1,TRINITY_DN11210_c0_g2_i1
TRINITY_DN11211_c0_g1_i11,TRINITY_DN11211_c0_g1_i11
TRINITY_DN11211_c0_g2_i1,TRINITY_DN11211_c0_g2_i1
TRINITY_DN11212_c0_g1_i3,TRINITY_DN11212_c0_g1_i3
TRINITY_DN11213_c0_g2_i2,TRINITY_DN11213_c0_g2_i2
TRINITY_DN112151_c0_g1_i10,TRINITY_DN112151_c0_g1_i10
TRINITY_DN112151_c1_g1_i12,TRINITY_DN112151_c1_g1_i12
TRINITY_DN11215_c0_g1_i1,TRINITY_DN11215_c0_g1_i1
TRINITY_DN112160_c0_g1_i2,TRINITY_DN112160_c0_g1_i2
TRINITY_DN112162_c0_g1_i3,TRINITY_DN112162_c0_g1_i3
TRINITY_DN11216_c0_g2_i13,TRINITY_DN11216_c0_g2_i13
TRINITY_DN112178_c0_g1_i1,TRINITY_DN112178_c0_g1_i1
TRINITY_DN11217_c0_g2_i1,TRINITY_DN11217_c0_g2_i1
TRINITY_DN112187_c0_g2_i1,TRINITY_DN112187_c0_g2_i1
TRINITY_DN11218_c0_g1_i1,TRINITY_DN11218_c0_g1_i1
TRINITY_DN11219_c0_g1_i1,TRINITY_DN11219_c0_g1_i1
TRINITY_DN1121_c0_g1_i8,TRINITY_DN1121_c0_g1_i8
TRINITY_DN1121_c7_g1_i6,TRINITY_DN1121_c7_g1_i6
TRINITY_DN112200_c0_g1_i1,TRINITY_DN112200_c0_g1_i1
TRINITY_DN11220_c0_g1_i11,TRINITY_DN11220_c0_g1_i11
TRINITY_DN112212_c0_g1_i1,TRINITY_DN112212_c0_g1_i1
TRINITY_DN11221_c0_g1_i4,TRINITY_DN11221_c0_g1_i4
TRINITY_DN112224_c0_g1_i4,TRINITY_DN112224_c0_g1_i4
TRINITY_DN112233_c0_g2_i1,TRINITY_DN112233_c0_g2_i1
TRINITY_DN112233_c0_g3_i1,TRINITY_DN112233_c0_g3_i1
TRINITY_DN112233_c1_g2_i2,TRINITY_DN112233_c1_g2_i2
TRINITY_DN112239_c1_g1_i1,TRINITY_DN112239_c1_g1_i1
TRINITY_DN11224_c0_g1_i3,TRINITY_DN11224_c0_g1_i3
TRINITY_DN112260_c0_g1_i2,TRINITY_DN112260_c0_g1_i2
TRINITY_DN11227_c0_g1_i1,TRINITY_DN11227_c0_g1_i1
TRINITY_DN11227_c1_g1_i17,TRINITY_DN11227_c1_g1_i17
TRINITY_DN11227_c2_g1_i1,TRINITY_DN11227_c2_g1_i1
TRINITY_DN11227_c2_g2_i4,TRINITY_DN11227_c2_g2_i4
TRINITY_DN11227_c3_g1_i1,TRINITY_DN11227_c3_g1_i1
TRINITY_DN11227_c5_g1_i1,TRINITY_DN11227_c5_g1_i1
TRINITY_DN112290_c0_g1_i8,TRINITY_DN112290_c0_g1_i8
TRINITY_DN112299_c0_g2_i2,TRINITY_DN112299_c0_g2_i2
TRINITY_DN11229_c0_g1_i3,TRINITY_DN11229_c0_g1_i3
TRINITY_DN1122_c0_g1_i19,TRINITY_DN1122_c0_g1_i19
TRINITY_DN112305_c0_g1_i3,TRINITY_DN112305_c0_g1_i3
TRINITY_DN112312_c0_g1_i1,TRINITY_DN112312_c0_g1_i1
TRINITY_DN112313_c0_g1_i2,TRINITY_DN112313_c0_g1_i2
TRINITY_DN112313_c0_g2_i2,TRINITY_DN112313_c0_g2_i2
TRINITY_DN11231_c0_g1_i1,TRINITY_DN11231_c0_g1_i1
TRINITY_DN11231_c0_g2_i4,TRINITY_DN11231_c0_g2_i4
TRINITY_DN112320_c0_g1_i2,TRINITY_DN112320_c0_g1_i2
TRINITY_DN112325_c0_g1_i1,TRINITY_DN112325_c0_g1_i1
TRINITY_DN112326_c0_g1_i1,TRINITY_DN112326_c0_g1_i1
TRINITY_DN112329_c0_g2_i3,TRINITY_DN112329_c0_g2_i3
TRINITY_DN11232_c0_g1_i2,TRINITY_DN11232_c0_g1_i2
TRINITY_DN112331_c0_g1_i1,TRINITY_DN112331_c0_g1_i1
TRINITY_DN112335_c0_g1_i2,TRINITY_DN112335_c0_g1_i2
TRINITY_DN112337_c0_g1_i1,TRINITY_DN112337_c0_g1_i1
TRINITY_DN112338_c0_g1_i1,TRINITY_DN112338_c0_g1_i1
TRINITY_DN112340_c0_g1_i8,TRINITY_DN112340_c0_g1_i8
TRINITY_DN112340_c0_g2_i1,TRINITY_DN112340_c0_g2_i1
TRINITY_DN112342_c0_g1_i3,TRINITY_DN112342_c0_g1_i3
TRINITY_DN112343_c0_g1_i2,TRINITY_DN112343_c0_g1_i2
TRINITY_DN112343_c0_g2_i1,TRINITY_DN112343_c0_g2_i1
TRINITY_DN112350_c0_g2_i1,TRINITY_DN112350_c0_g2_i1
TRINITY_DN112353_c0_g1_i6,TRINITY_DN112353_c0_g1_i6
TRINITY_DN112359_c0_g1_i2,TRINITY_DN112359_c0_g1_i2
TRINITY_DN11235_c0_g2_i3,TRINITY_DN11235_c0_g2_i3
TRINITY_DN112366_c0_g1_i1,TRINITY_DN112366_c0_g1_i1
TRINITY_DN11236_c0_g1_i1,TRINITY_DN11236_c0_g1_i1
TRINITY_DN112372_c0_g1_i2,TRINITY_DN112372_c0_g1_i2
TRINITY_DN112379_c0_g1_i1,TRINITY_DN112379_c0_g1_i1
TRINITY_DN11237_c0_g1_i1,TRINITY_DN11237_c0_g1_i1
TRINITY_DN112383_c0_g1_i1,TRINITY_DN112383_c0_g1_i1
TRINITY_DN112385_c0_g1_i4,TRINITY_DN112385_c0_g1_i4
TRINITY_DN112385_c1_g1_i3,TRINITY_DN112385_c1_g1_i3
TRINITY_DN11238_c1_g1_i6,TRINITY_DN11238_c1_g1_i6
TRINITY_DN112391_c0_g1_i2,TRINITY_DN112391_c0_g1_i2
TRINITY_DN112394_c0_g1_i1,TRINITY_DN112394_c0_g1_i1
TRINITY_DN112394_c0_g2_i1,TRINITY_DN112394_c0_g2_i1
TRINITY_DN112399_c0_g1_i5,TRINITY_DN112399_c0_g1_i5
TRINITY_DN11239_c0_g1_i9,TRINITY_DN11239_c0_g1_i9
TRINITY_DN11239_c1_g1_i22,TRINITY_DN11239_c1_g1_i22
TRINITY_DN112402_c0_g1_i4,TRINITY_DN112402_c0_g1_i4
TRINITY_DN112405_c0_g1_i1,TRINITY_DN112405_c0_g1_i1
TRINITY_DN112409_c0_g1_i1,TRINITY_DN112409_c0_g1_i1
TRINITY_DN11240_c0_g2_i1,TRINITY_DN11240_c0_g2_i1
TRINITY_DN112414_c0_g2_i1,TRINITY_DN112414_c0_g2_i1
TRINITY_DN112416_c0_g1_i1,TRINITY_DN112416_c0_g1_i1
TRINITY_DN112417_c0_g2_i1,TRINITY_DN112417_c0_g2_i1
TRINITY_DN112419_c0_g1_i1,TRINITY_DN112419_c0_g1_i1
TRINITY_DN11241_c0_g5_i1,TRINITY_DN11241_c0_g5_i1
TRINITY_DN11241_c1_g1_i1,TRINITY_DN11241_c1_g1_i1
TRINITY_DN11241_c2_g1_i13,TRINITY_DN11241_c2_g1_i13
TRINITY_DN112420_c1_g1_i1,TRINITY_DN112420_c1_g1_i1
TRINITY_DN112423_c0_g1_i1,TRINITY_DN112423_c0_g1_i1
TRINITY_DN112424_c0_g1_i1,TRINITY_DN112424_c0_g1_i1
TRINITY_DN112425_c0_g1_i1,TRINITY_DN112425_c0_g1_i1
TRINITY_DN112426_c0_g1_i2,TRINITY_DN112426_c0_g1_i2
TRINITY_DN11242_c0_g2_i1,TRINITY_DN11242_c0_g2_i1
TRINITY_DN11242_c0_g3_i3,TRINITY_DN11242_c0_g3_i3
TRINITY_DN112431_c0_g1_i2,TRINITY_DN112431_c0_g1_i2
TRINITY_DN112432_c0_g1_i1,TRINITY_DN112432_c0_g1_i1
TRINITY_DN112433_c0_g1_i1,TRINITY_DN112433_c0_g1_i1
TRINITY_DN11243_c0_g1_i1,TRINITY_DN11243_c0_g1_i1
TRINITY_DN11243_c0_g2_i2,TRINITY_DN11243_c0_g2_i2
TRINITY_DN112440_c1_g1_i2,TRINITY_DN112440_c1_g1_i2
TRINITY_DN112446_c0_g1_i3,TRINITY_DN112446_c0_g1_i3
TRINITY_DN112449_c0_g1_i3,TRINITY_DN112449_c0_g1_i3
TRINITY_DN11244_c0_g1_i2,TRINITY_DN11244_c0_g1_i2
TRINITY_DN11244_c1_g1_i7,TRINITY_DN11244_c1_g1_i7
TRINITY_DN11244_c1_g2_i9,TRINITY_DN11244_c1_g2_i9
TRINITY_DN112451_c0_g1_i1,TRINITY_DN112451_c0_g1_i1
TRINITY_DN112452_c0_g1_i1,TRINITY_DN112452_c0_g1_i1
TRINITY_DN112453_c0_g1_i1,TRINITY_DN112453_c0_g1_i1
TRINITY_DN112455_c0_g1_i2,TRINITY_DN112455_c0_g1_i2
TRINITY_DN112457_c0_g2_i4,TRINITY_DN112457_c0_g2_i4
TRINITY_DN112458_c0_g1_i1,TRINITY_DN112458_c0_g1_i1
TRINITY_DN112459_c0_g1_i4,TRINITY_DN112459_c0_g1_i4
TRINITY_DN11245_c0_g1_i2,TRINITY_DN11245_c0_g1_i2
TRINITY_DN11245_c0_g2_i62,TRINITY_DN11245_c0_g2_i62
TRINITY_DN112460_c0_g1_i3,TRINITY_DN112460_c0_g1_i3
TRINITY_DN112461_c0_g2_i1,TRINITY_DN112461_c0_g2_i1
TRINITY_DN112465_c0_g2_i1,TRINITY_DN112465_c0_g2_i1
TRINITY_DN112467_c0_g1_i1,TRINITY_DN112467_c0_g1_i1
