Transcript,Transcript
comp100027_c0_seq2,comp100027_c0_seq2
comp100035_c0_seq1,comp100035_c0_seq1
comp100036_c0_seq1,comp100036_c0_seq1
comp100038_c0_seq1,comp100038_c0_seq1
comp100042_c0_seq1,comp100042_c0_seq1
comp100048_c0_seq1,comp100048_c0_seq1
comp100053_c0_seq1,comp100053_c0_seq1
comp100057_c0_seq1,comp100057_c0_seq1
comp100058_c0_seq1,comp100058_c0_seq1
comp10007_c0_seq1,comp10007_c0_seq1
comp100099_c0_seq1,comp100099_c0_seq1
comp100114_c0_seq1,comp100114_c0_seq1
comp100120_c0_seq1,comp100120_c0_seq1
comp100125_c0_seq2,comp100125_c0_seq2
comp100143_c0_seq1,comp100143_c0_seq1
comp100144_c0_seq1,comp100144_c0_seq1
comp100162_c0_seq1,comp100162_c0_seq1
comp100183_c0_seq1,comp100183_c0_seq1
comp100206_c0_seq1,comp100206_c0_seq1
comp100207_c0_seq1,comp100207_c0_seq1
comp100218_c0_seq2,comp100218_c0_seq2
comp100226_c0_seq1,comp100226_c0_seq1
comp100226_c0_seq2,comp100226_c0_seq2
comp100229_c0_seq1,comp100229_c0_seq1
comp100239_c0_seq1,comp100239_c0_seq1
comp100242_c0_seq1,comp100242_c0_seq1
comp100270_c0_seq1,comp100270_c0_seq1
comp100279_c0_seq3,comp100279_c0_seq3
comp100281_c0_seq1,comp100281_c0_seq1
comp100291_c0_seq1,comp100291_c0_seq1
comp100292_c0_seq1,comp100292_c0_seq1
comp100315_c0_seq1,comp100315_c0_seq1
comp100346_c0_seq1,comp100346_c0_seq1
comp100350_c0_seq1,comp100350_c0_seq1
comp100360_c0_seq1,comp100360_c0_seq1
comp100367_c0_seq1,comp100367_c0_seq1
comp100373_c0_seq1,comp100373_c0_seq1
comp100375_c0_seq1,comp100375_c0_seq1
comp100396_c0_seq1,comp100396_c0_seq1
comp100399_c0_seq1,comp100399_c0_seq1
comp100401_c0_seq1,comp100401_c0_seq1
comp100423_c0_seq1,comp100423_c0_seq1
comp100430_c0_seq1,comp100430_c0_seq1
comp100437_c0_seq4,comp100437_c0_seq4
comp100460_c0_seq1,comp100460_c0_seq1
comp100460_c0_seq2,comp100460_c0_seq2
comp100464_c0_seq1,comp100464_c0_seq1
comp100493_c0_seq1,comp100493_c0_seq1
comp100505_c0_seq1,comp100505_c0_seq1
comp100515_c0_seq1,comp100515_c0_seq1
comp100522_c0_seq1,comp100522_c0_seq1
comp100526_c0_seq2,comp100526_c0_seq2
comp100530_c0_seq1,comp100530_c0_seq1
comp10053_c0_seq1,comp10053_c0_seq1
comp100543_c0_seq2,comp100543_c0_seq2
comp100549_c0_seq1,comp100549_c0_seq1
comp100549_c0_seq2,comp100549_c0_seq2
comp100555_c0_seq1,comp100555_c0_seq1
comp100562_c0_seq1,comp100562_c0_seq1
comp100564_c0_seq1,comp100564_c0_seq1
comp100575_c0_seq1,comp100575_c0_seq1
comp100588_c0_seq1,comp100588_c0_seq1
comp100592_c0_seq1,comp100592_c0_seq1
comp100613_c0_seq1,comp100613_c0_seq1
comp100618_c0_seq1,comp100618_c0_seq1
comp100633_c0_seq1,comp100633_c0_seq1
comp100637_c0_seq1,comp100637_c0_seq1
comp100637_c0_seq2,comp100637_c0_seq2
comp100647_c0_seq1,comp100647_c0_seq1
comp100670_c0_seq1,comp100670_c0_seq1
comp100676_c0_seq1,comp100676_c0_seq1
comp100680_c0_seq1,comp100680_c0_seq1
comp100683_c0_seq1,comp100683_c0_seq1
comp100695_c0_seq1,comp100695_c0_seq1
comp100701_c0_seq1,comp100701_c0_seq1
comp100740_c0_seq2,comp100740_c0_seq2
comp100768_c0_seq1,comp100768_c0_seq1
comp100771_c0_seq1,comp100771_c0_seq1
comp100812_c0_seq1,comp100812_c0_seq1
comp100827_c0_seq2,comp100827_c0_seq2
comp100831_c0_seq1,comp100831_c0_seq1
comp100856_c0_seq3,comp100856_c0_seq3
comp100862_c0_seq1,comp100862_c0_seq1
comp100872_c0_seq1,comp100872_c0_seq1
comp100876_c0_seq2,comp100876_c0_seq2
comp100893_c0_seq1,comp100893_c0_seq1
comp100894_c0_seq1,comp100894_c0_seq1
comp100901_c0_seq1,comp100901_c0_seq1
comp100903_c0_seq1,comp100903_c0_seq1
comp100904_c0_seq1,comp100904_c0_seq1
comp100905_c0_seq1,comp100905_c0_seq1
comp100930_c0_seq2,comp100930_c0_seq2
comp100939_c0_seq2,comp100939_c0_seq2
comp100960_c0_seq1,comp100960_c0_seq1
comp100966_c0_seq1,comp100966_c0_seq1
comp100969_c0_seq1,comp100969_c0_seq1
comp101000_c0_seq1,comp101000_c0_seq1
comp101015_c0_seq1,comp101015_c0_seq1
comp101020_c0_seq1,comp101020_c0_seq1
comp101022_c0_seq2,comp101022_c0_seq2
comp101031_c0_seq1,comp101031_c0_seq1
comp101037_c0_seq1,comp101037_c0_seq1
comp101057_c0_seq1,comp101057_c0_seq1
comp101077_c0_seq1,comp101077_c0_seq1
comp101083_c0_seq1,comp101083_c0_seq1
comp101092_c0_seq2,comp101092_c0_seq2
comp101098_c0_seq1,comp101098_c0_seq1
comp101100_c0_seq1,comp101100_c0_seq1
comp101108_c0_seq1,comp101108_c0_seq1
comp101130_c0_seq1,comp101130_c0_seq1
comp101134_c0_seq2,comp101134_c0_seq2
comp101171_c0_seq1,comp101171_c0_seq1
comp101171_c0_seq2,comp101171_c0_seq2
comp101193_c0_seq2,comp101193_c0_seq2
comp101199_c0_seq2,comp101199_c0_seq2
comp101210_c0_seq1,comp101210_c0_seq1
